id,text,score
1,瞎说，很茫然。从产能上看，减产任务依然困难。从消费端看，没有什么潜力可挖了，什么补贴都上了，明年能出的招已经不多了。从就业端看，全球经济都是下行为主，加上关税大战，出口是下降为主，故此厂商依旧是保持现有人员及裁员减员为主。而办公室，由于ai，更多人将会被裁撤。从教育端看，幼儿园小学，人口断崖下降的弊端已经开始显现，幼儿园关闭潮即将迎来高潮，小学合并在明年将继续增加，高校反倒作为就业蓄水池增量，继续扩招形成的新的就业问题且现有大学资源不足的盲目扩建形成新的浪费。从医疗口看，明年各项保费一定是增加，公立医院继续经营困难。从养老端看，继续增加，而养老池子的水肉眼可见的减少，留给未来的时间越来越短。从创新看，没有极具市场的创新，继续炒ai及其分类产品就是未来一段时间的主题。从娱乐看，继续两极化，好的产品凤毛麟角，纸张继续主导市场，而爱国可能会继续增强。从a股看，今年已经算是近些年的最好年景了，但散户入场未见多增，主力能继续推高的可能性估计力量不大。从债市看，下半年算是垃圾了，而市场中还有更多等着爆的雷，展期都是极其困难。从黄金看，前期太猛，估值都没数了，不能理解其中逻辑。从外部环境看，大规模战争的可能性增加，局部战争继续延续。关税继续相互斗，以前的全球化可能会分裂成各自的联盟化。从内部环境看，就业岗位继续下降，待就业人口持续上涨，房地产支柱崩盘，新支柱目前看不见，体制内降薪，体制外生存考验。明年，大概率继续持续今年走势，军工可能继续上扬，养老保健继续上扬，医美上扬，体育产业上扬，其他各产业可能出现萎靡下行。,1
2,宏观上，经济是增长状态的。但是你感觉不好，我来给你解释原因第一，是地方债，目前仍处于化债阶段。既然是化解债务，那三四线的城市、县城也只好缩减公共支出，抑制消费能力了！绩效，奖金等能迟发就迟发，市场消费萎靡。第二，是供给侧改革，所谓的供给侧改革，核心是，之前造的东西太多了。目前要去库存，去杠杆，去产能，优化结构。这一方面来看，东西都卖不出去了，工人自然不需要那么多，国民收入与消费也提不起来。但随着，结构性改革，会有慢慢好转，属于长痛不如短痛。第三，是高质量发展。所谓的高质量发展就是资源财政向人工智能、芯片、机器人等高端产业倾斜。这么一来，作为民生底盘的低端产业，小微企业就被边缘化了。一直以来，保就业、保民生靠的是这些小微企业来吸纳就业人口。目前，高端产业还没有发展到能拉动、拉活整个经济市场的能力。而低端产业由于发展受限，也无法吸纳庞大的就业。这就造成了一定的真空期。结合最新公布的16——24岁青年失业率达到了惊人的18.9%，这意味着青年有五分之一是失业状态，实际可能更高。16——24岁的青年有的初中去打工，有的大学毕业去打工，沉没在低端产业，但由于低端产业没有强大的政策红利，这些青年都找不到工作。当然对于小微企业，国家也是有扶持和补贴的。但在整个经济中是属于边缘化的。你想问的应该是国民收入和消费什么时候才能真正提振起来？大概要看2027年之后了！,2
3,2015年房产微跌，是很好的一次市场自我调节，但不知道16年为啥搞了一个供给侧，我现在也没明白，懒得明白。反正随后几年房地产近乎涨了三分之一还多那时候我就有种隐隐不安，青岛那几年往后近乎跳涨五分之二，相当于给一个要休息的轻度病人大了一大管兴奋剂，药效过了所以该还债了。接下来经济还会下行，不过时间不会太长，也不要太过悲欢。所以盲猜一下 未来几年政策和经济。通缩是很难止住的，所以短期经济会持续下行，且无法停止，哪怕国家出手，毕竟考虑到国际局势国家不会大力出手，所以刹不住车。所以只会在适当时机、行业出清、或者即将触底时出手、托举，迎来新一轮。1、加大反腐、清剿国内官商国企内部利益链，其实就是搞钱，有…板罢了，趋势一来还会有无数人冲进来，周而复始，太阳底下没有新鲜事。4、摘掉国外封锁和高科技行业，国内这里面资源一直在大力倾斜。5、研究和推动富人税、这个有点难但也会艰难推进，主要成功企业家在人大里占的比例不低，他们口里的肉很难动。6、房地产会重新拉动，触底就只能反弹了，毕竟坏到最坏只能变好了。7、现在看来这个趋势在加速，国内卷的太狠，中国人用几十年创造奇迹，也同样可以几年卷死自己。我个人臆测不会超…能躺就躺吧，接下来会越发惨烈。生意人和老板是没办法一旦上路就是高速公路，停不下也无法回头。其实我最怕的，就是国家真的在大力出手，国家大力出手只有两种可能1、明年最后一年，最后的底部震荡。2、横盘很久很久，托托不起来，下下不去，各行业各阶层水深火热。其实最好是放任和适当性托举，目前看来也都是雷声大雨点小，国内牛人还是很多很多的。目前我没有看到底部，但又有隐隐见底的感觉，终还不是底，明年中旬再看看吧。,2
4,2025年8月，中国经济交出了一份沉重的成绩单:消费、投资、出口——三大需求齐齐下滑。中国经济的这三驾马车，过去我们最常见的是“一条腿瘸了”，比如投资不行，但消费还撑得住；或者消费低迷，但出口能拉一把。然而今年8月，是“三条腿一起跛”。这种局面，在过去几年里极为罕见。尽管只是一个月的数据，但它却是对中国经济未来的一声警钟：旧模式的惯性正在衰竭，而新模式尚未建立。结构性的转型，迫在眉睫。为什么会出现这样的局面？先看外部环境。美国对华关税升级的阴影仍在，最近拿芯片开刀证明中美科技博弈并没有缓和迹象，欧洲市场则在加速“去风险化”。另外，全球需求走弱，供应链重构，对中国出口依赖型产业形成了直接冲击。再…民消费不是完全熄火，而是贫富差距凸显之下的不均衡：多数人勒紧裤腰带，但少数人还能“挥金如土”。这也体现出，真正的问题在于收入增长停滞。没有稳定的就业和更高的收入，消费无法形成持久动力。补贴只能解决一时的问题，却无法改变长期的消费信心。3.投资领域:情况更为严峻。1-8月，全国固定资产投资同比仅增长0.5%，连续五个月下滑，8月还创下新低。三大投资领域几乎全部“亮红灯”：基建:专项债发行速度放缓，地…下的结构性困局所在。这个阶段会持续多久？没有人知道，但一定会是严峻的考验。5.出路:危机与转机8月的数据证明，中国经济需要寻找新的支撑点，需要新的战略突破，更需要重建居民与企业的信心。危机与转机总是并存。但是，转机不会自动到来，需要深入的战略调整。目前最迫切的，就是从根本上提升消费：提高居民收入、提升社保水平、助力民营企业，让中国经济的内生动力，在居民端的信心恢复之中，找到结构转型的“活水源泉”。,2
5,1、人民币存在四大行，每一行不要超过50万。2、千万不要搞金条，买1g左右的小金豆子。3、别买房，清理二线以下多余房产。4、家族里永远要有个农村户口。5、投资聚焦化肥，煤炭，猪肉等资源粮食股。滞涨周期只有这些能赚钱。8、减少债务，提前储蓄，一个危机不会肆虐4年。就是日本也是可以做到不倒退的。7、35岁以下，有考公资质和条件的，去抓住最后机会上岸。经济大萧条，只要分好蛋糕，做好流通就能渡过，因为城市人口过剩时，知青下乡劳动改造城市商品过剩时，家电下乡改善民生。9、一定一定要有风险意识，一定一定要有存款，而且你的存款一定要能够保证你的基本生活3年以上!10、千万不要碰网贷，好借不好还。11、别碰你…4、把闲置的房产租出去赚外快。15、房、车都不要买，要买就全款买。避免背上大量贷款。16、穷人通缩，富人通胀。17、别借债，或者把债务控制在资产相比很小的比例里。18、及时处置不良资产置换固定资产。19、或许有人会说，身为农村的我还有几亩田地，大不了回去自给自足生存没有问题。放心，你只要不是在山里独户，怀璧其罪永远是真理。20、谨慎生孩子，孩子一个就好，手里没有过多的余粮，就不要拼二胎三胎了。21…存钱，存钱，存钱。28、重新调整家庭资产配置尤为重要。29、最重要的是，要保持积极的心态。经济大萧条可能是一段艰难的时期，但它不是永久30、不要负债，不要负债，不要负债。31、尽可能的开源节流，非必要不购买。32、现金为王，不需要的各种网购都砍了。33、不要随意跳槽。有的干总比没得干好。34、努力储蓄，为将来经济复苏的投资机会做。35、增加收入，加强技能，提高就业机会。36、不要做乱七八糟的投资。,2
6,简单回答：虎牢关吃了个大败仗，然后满朝公卿又开始了“日哭夜哭”模式。他这种话，往前数40年，说过的人不计其数。哪个不是有着大量数据支撑呢？你以为章家敦是吃素的吗？当年写《中国即将崩溃》的时候，从数据到说理也是一套一套的。你不能因为他现在成了个笑话，就觉得他当年的证据都是假的。章家敦当年引用的数据，有好多是实打实的。就如现在很多人引用的数据一样。但这就意味着会崩溃吗？未免想太多了。一堆人上来就是“资产负债表危机”。这不过是生搬硬套。现在的困难期，本质上是旧有的重要经济引擎（房地产业）要更换，旧的财政模式（土地财政）要切换。你看房地产业一年两位数的衰退，整个经济还能稳住，就知道，其他产业发展是很猛…的。房地产业出清是有尽头的。而中国还没占据主导的产业（芯片设计、芯片制造、生物医药等）倒还有不少空间。新兴产业吃掉房地产衰退让出来的空间，只是时间问题。等到房地产出清完毕，经济恢复。资产税必定要上，社保也会贯彻，财政就找到了新的支点，自然就平稳度过了。日本当年房地产崩溃后，他还能投资啥？本来大方向是要往半导体方向走。假如你考虑把韩国的三星、LG的电子和半导体部门给到日本，你觉得日本还会有失落的几十…持了台湾和韩国。一如今天美国想通过光刻机和各种设备、原料的禁运来搞死中国的半导体产业。日本一大支柱产业崩溃，而新产业上不来，只能吃老本，那怎么可能不连续几十年停滞？应该说，只是停滞，就已经算是日本命够硬了。现在的差别在于中国不是日本。美国搞不死中国的新兴产业。所以中国能够完成经济上的引擎更换。但凡美国能搞死中国的新产业，那中国搞不好真的会内爆。但很遗憾，虎牢关战败了，满朝公卿日哭夜哭又有什么用呢？,4
7,谢邀。水分应该没那么大啦，应该就是不均衡，导致不同人之间的冰火两重天。其实我觉得这增速也还好。今年新增广义赤字力度估计在12-13万亿，相当于GDP的9-10%，历年罕见。嗑药已经是一把一把地嗑，总得硬一下，不然根子就废了。6月规上工业增长6.8%，制造业增加值增长7.4%，其中汽车制造增长11.4%，3C也有11%。结合上半年以旧换新和抢出口来看，不算妄言。从我的身边统计学和酒桌经济学来看，同步还有很多台下操作。例如大量政府背景资金到下面进行兜底式不良资产收购。虽然很多骨折价，但并不算趁火打劫。如果继续放任二三线资产下坠，例如酒店医院景区消费品制造业等，很多城市就得出现系统性金融风险。总之，…头抵消了大量刺激投入，也让这里面几千万从业者根本感觉不到增长。其次，太卷。今年二季度的规上工业产能利用率是74%，从同期看，仅16年二季度的73.1%。而16年正是供给侧改革年，就是被产能过剩逼的。尤其要注意：一般来说，因为国内春节这些，一季度是产能淡季，二季度会回升。例如16年的过剩年，一季度规上工业产能利用率72.9%，二季度微升到73.1%。但今年反了，二季度比一季度还下降了0.1个百分点，…人当然会觉得涨了个寂寞。总之，个人觉得能熬住就行，因为6月很多指标都怪怪的。例如6月房地产投资降幅是12.9%，大于上半年总体的11.2%。等于说6月很多数据在加速向下，降幅扩大。前几年还没那么下行，大家热切讨论下行期该怎么办；现在真开始下行了，讨论经济的话题就自觉减少，大家宁愿聊八卦。但还是希望多开会多搞政策，内容再无聊咱也是会看的。毕竟聊一万句八卦，最后还得面对生活。闲聊公号：王子君的碎碎念。,3
8,因为中国经济发展的根本逻辑开始变了，中国经济很可能要开始发力了，今年的9.3大阅兵是一个重要的转折点，再过几天，还有一件大事，一旦敲定，中国经济将正式吹响反击的号角。为什么我这样讲？我跟大家说一下我的基本逻辑。大家都知道，一个国家的资源是有限的，想要发展经济，需要大量的财政投入，但是国家花钱的地方又特别多，军事、产业、医疗、教育、养老……每一个领域都是吞金巨兽，所以在不同的发展时期，国家的侧重点是不一样的。比如说上世纪60年代，我们被美苏两个超级大国同时封锁，苏联百万大军就部署在北方的边境，在这个时期，保证国家领土安全是首要任务，所以我们大量的资金被投入到了军事和科研领域，而经济领域的发展则显…基建领域的大升级，我可以非常直白的告诉大家，我从来没有见过有哪个时期，国家会上马这么多的基建建设，你看看自己身边，从2016年-2025年，你们村修了多少柏油路，你们县修了多少高速，你们市又修了多少高铁和地铁？我们用了差不多10年的时间，建成了人类历史上最发达的交通运输网，很多人只看到双十一和春运我们强大的运力，你认真想一想，能送快递是不是就能送武器？能送老百姓，是不是就能送最可爱的人？ 这十年的…们的政策调整空间又出现了，就和去年的9月份一样，到时候一定会出台一些刺激措施，比如说房贷利率降低、对股市的支持，还有降准降息，这些福利政策，全都会挨个出现。当一切准备就绪，中国经济全面复苏的条件就十分充足了，到时候一个新的周期将会来临，一定要记住，经济不会永远繁荣，但也不会永远低迷，在周期之间反复循环，就是历史的真相，我们需要做的是看懂趋势，把握机遇，只有这样才能在时代的浪潮中赚到属于自己的财富。,4
9,我一直很奇怪，为什么会有这么多知乎男，自信到觉得女性在经济差找不到工作的时候，会选择跑去结婚生孩子我问你，如果你的预期是连工作都找不到，连你自己都不一定养得活你居然敢生孩子？你不敢凭什么别人敢？男性都不敢，凭什么女性敢？女性生孩子本来就要付出更大代价，往往也更怜惜自己的孩子，你凭什么代入她觉得她敢随便生？动物都知道环境不好要停止繁衍，生孩子是要花代价的，生了却养不活，不论是从冷冰冰的成本消耗还是从感情、天性上讲都亏大了而且怎么说都是自己的孩子，有几个是真能忍心看Ta活得不好凄惨的拿事实说话：从疫情到现在七八年了，结婚人数、新生儿人数全部腰斩而女性外卖员、滴滴司机、摆摊都越来越多还不能说明问题吗…会选择稀里糊涂去结婚生孩子【二编补充】我懂了，居然有人的逻辑是女性要吃不上饭了，就会嫁人，靠生孩子换口饭吃，哈哈哈哈别的不说，这一条成立至少要满足4个条件第一，女性除了嫁人生孩子没别的途径吃上饭然而事实是哪怕做保姆送外卖都能活得还行，没孩子月入三千都够一个人吃饱喝足追剧看电影玩手机偶尔逛街出游，生了孩子才反倒真可能吃不上饭，生孩子养孩子多大成本不用我说，最重要的是还要消耗掉大量精力让你想送外卖都没…老人一个妻子一个孩子吧？实际上光一个妻子一个孩子大概率你都养不起，别说父母了第三，婚姻法真正保护妻权，男人反悔要付出高额成本然而事实是男人随时随便反悔几乎无代价，孩子生了却是真的塞不回去，生完了他不养，你能把他怎么办？本来就穷的女性，变成单亲妈妈带个孩子，那简直是绝路第四，婚姻无风险生育无损伤然而事实是出轨、瓢、家暴率个个难看，生育损伤更不用说，现在人惜命也很正常吧，给你多少万能买你的健康和生命？,2
10,影响就是，大家未来最好求稳。首先避雷几件事：1，创业，尤其是餐饮创业。谁开谁死！以广东为例，奶茶、咖啡、卤菜、火锅、烧烤、麻辣烫、牛杂、米线面条....倒闭一大堆。当中，还有不少加盟店，辛辛苦苦赚的钱，想着开店创业实现资产增值，结果全部给房东和加盟商赚去。2，买车，尤其是新能源车。不是刚需，就不要买车！实在刚需，10W级的先开着。现在二手车跌得有多惨？24款理想L7 Pro，5000公里，现在二手压到21-22万。没记错，官方指导价是30万。一年跌8万±。理想这种一线新能源尚且如此，那些冷门的二三线，一年贬值直接打对折。明后年更多新技术涌现，新能源车只会卷得更厉害...二手贬值也只会更快。3，生孩子。生育政策刚出，很多人被吸引了。但资本正摩拳擦掌你看，奶粉开始涨价了吧。纸尿片、玩具，马上就跟上了。接下来，幼儿园会关停一大批。你说会入学成本会大降？资本家只会加快倒牛奶。正确的操作是，关停大片幼儿园，营造供不应求的假象，最终公立更难进、私立价格变得更贵。接下来是我另外的一些观点：4.当下环境，身体健康永远TOP别因为工作累坏身体，当工作要用身体/心理健康去换，别想了，直接裸辞吧。走一趟医院，消费比你买台新手机都贵。而且，养lao金现在都啥样了，你猜yi保会不会？？？5.食物健康你是不是看到，今年平台补贴，外卖很便宜？但转过头，商家可是苦不堪言，因为压根没赚多少。再细说，随着餐饮内卷，大家打价格战——为了赚钱，那么必然的是，压低经营成本。这个链条会层层影响到食品质量。像最近的预制菜，藏得越来越深。还有食品生产链条上的养殖业，相关乱象会更多。,2
