id,text,score
0,1、人民币存在四大行，每一行不要超过50万。2、千万不要搞金条，买1g左右的小金豆子。3、别买房，清理二线以下多余房产。4、家族里永远要有个农村户口。5、投资聚焦化肥，煤炭，猪肉等资源粮食股。滞涨周期只有这些能赚钱。8、减少债务，提前储蓄，一个危机不会肆虐4年。就是日本也是可以做到不倒退的。7、35岁以下，有考公资质和条件的，去抓住最后机会上岸。经济大萧条，只要分好蛋糕，做好流通就能渡过，因为城市...的东西。12、菜市场的蔬果肉，在新鲜的前提下，什么便宜买什么。13、添置实体黄金，外汇，加密货币。14、把闲置的房产租出去赚外快。15、房、车都不要买，要买就全款买。避免背上大量贷款。16、穷人通缩，富人通胀。17、别借债，或者把债务控制在资产相比很小的比例里。18、及时处置不良资产置换固定资产。19、或许有人会说，身为农村的我还有几亩田地，大不了回去自给自足生存没有问题。放心，你只要不是在山里独户，怀璧其罪永远是真理。20、谨慎生孩子，孩子一个就好，手里没有过多的余粮，就不要拼二胎三胎了。21、当燃油汽车汽车都开始甩卖的时候，我发现中产，也开始慌了!存钱、存钱、存钱，就是正义!不敢消费和没钱...不购买。32、现金为王，不需要的各种网购都砍了。33、不要随意跳槽。有的干总比没得干好。34、努力储蓄，为将来经济复苏的投资机会做。35、增加收入，加强技能，提高就业机会。36、不要做乱七八糟的投资。,1
1,影响就是，大家未来最好求稳。首先避雷几件事：1，创业，尤其是餐饮创业。谁开谁死！以广东为例，奶茶、咖啡、卤菜、火锅、烧烤、麻辣烫、牛杂、米线面条....倒闭一大堆。当中，还有不少加盟店，辛辛苦苦赚的钱，想着开店创业实现资产增值，结果全部给房东和加盟商赚去。2，买车，尤其是新能源车。不是刚需，就不要买车！实在刚需，10W级的先开着。现在二手车跌得有多惨？24款理想L7 Pro，5000公里，现在二手...压到21-22万。没记错，官方指导价是30万。一年跌8万±。理想这种一线新能源尚且如此，那些冷门的二三线，一年贬值直接打对折。明后年更多新技术涌现，新能源车只会卷得更厉害...二手贬值也只会更快。3，生孩子。生育政策刚出，很多人被吸引了。但资本正摩拳擦掌~~你看，奶粉开始涨价了吧。纸尿片、玩具，马上就跟上了。接下来，幼儿园会关停一大批。你说会入学成本会大降？资本家只会加快倒牛奶。正确的操作是，关停大片幼儿园，营造供不应求的假象，最终公立更难进、私立价格变得更贵。接下来是我另外的一些观点：4.当下环境，身体健康永远TOP别因为工作累坏身体，当工作要用身体/心理健康去换，别想了，直接裸辞吧。走一趟...，因为压根没赚多少。再细说，随着餐饮内卷，大家打价格战??为了赚钱，那么必然的是，压低经营成本。这个链条会层层影响到食品质量。像最近的预制菜，藏得越来越深。还有食品生产链条上的养殖业，相关乱象会更多。,2
2,因为中国经济发展的根本逻辑开始变了，中国经济很可能要开始发力了，今年的9.3大阅兵是一个重要的转折点，再过几天，还有一件大事，一旦敲定，中国经济将正式吹响反击的号角。为什么我这样讲？我跟大家说一下我的基本逻辑。大家都知道，一个国家的资源是有限的，想要发展经济，需要大量的财政投入，但是国家花钱的地方又特别多，军事、产业、医疗、教育、养老……每一个领域都是吞金巨兽，所以在不同的发展时期，国家的侧重点是...，这个数字直接变成了3.6万亿，巨额的科研投入才是黑科技井喷的重要原因，有钱才能拿出真东西！第四件是基建领域的大升级，我可以非常直白的告诉大家，我从来没有见过有哪个时期，国家会上马这么多的基建建设，你看看自己身边，从2016年-2025年，你们村修了多少柏油路，你们县修了多少高速，你们市又修了多少高铁和地铁？我们用了差不多10年的时间，建成了人类历史上最发达的交通运输网，很多人只看到双十一和春运我们强大的运力，你认真想一想，能送快递是不是就能送武器？能送老百姓，是不是就能送最可爱的人？ 这十年的基建布局，全都是战备升级的一部分，一切都是为了应对那场可能的战争。可以毫不夸张的说，从2016年-2...充足了，到时候一个新的周期将会来临，一定要记住，经济不会永远繁荣，但也不会永远低迷，在周期之间反复循环，就是历史的真相，我们需要做的是看懂趋势，把握机遇，只有这样才能在时代的浪潮中赚到属于自己的财富。,5
3,2015年房产微跌，是很好的一次市场自我调节，但不知道16年为啥搞了一个供给侧，我现在也没明白，懒得明白。反正随后几年房地产近乎涨了三分之一还多那时候我就有种隐隐不安，青岛那几年往后近乎跳涨五分之二，相当于给一个要休息的轻度病人大了一大管兴奋剂，药效过了所以该还债了。接下来经济还会下行，不过时间不会太长，也不要太过悲欢。所以盲猜一下 未来几年政策和经济。通缩是很难止住的，所以短期经济会持续下行，且...这很重要！这点都做不到就是空谈伟大复兴。3、会死掉很多公司企业个体，不过对于整个社会来说不过换一批老板罢了，趋势一来还会有无数人冲进来，周而复始，太阳底下没有新鲜事。4、摘掉国外封锁和高科技行业，国内这里面资源一直在大力倾斜。5、研究和推动富人税、这个有点难但也会艰难推进，主要成功企业家在人大里占的比例不低，他们口里的肉很难动。6、房地产会重新拉动，触底就只能反弹了，毕竟坏到最坏只能变好了。7、现在看来这个趋势在加速，国内卷的太狠，中国人用几十年创造奇迹，也同样可以几年卷死自己。我个人臆测不会超过三年，国内必托举，国人之卷实在是强，我是服气的。8、各地上马大基建、大项目，拆迁改造也会上线，一句话...久，托托不起来，下下不去，各行业各阶层水深火热。其实最好是放任和适当性托举，目前看来也都是雷声大雨点小，国内牛人还是很多很多的。目前我没有看到底部，但又有隐隐见底的感觉，终还不是底，明年中旬再看看吧。,3
4,简单回答：虎牢关吃了个大败仗，然后满朝公卿又开始了“日哭夜哭”模式。他这种话，往前数40年，说过的人不计其数。哪个不是有着大量数据支撑呢？你以为章家敦是吃素的吗？当年写《中国即将崩溃》的时候，从数据到说理也是一套一套的。你不能因为他现在成了个笑话，就觉得他当年的证据都是假的。章家敦当年引用的数据，有好多是实打实的。就如现在很多人引用的数据一样。但这就意味着会崩溃吗？未免想太多了。一堆人上来就是“资...更换，旧的财政模式（土地财政）要切换。你看房地产业一年两位数的衰退，整个经济还能稳住，就知道，其他产业发展是很猛的。房地产业出清是有尽头的。而中国还没占据主导的产业（芯片设计、芯片制造、生物医药等）倒还有不少空间。新兴产业吃掉房地产衰退让出来的空间，只是时间问题。等到房地产出清完毕，经济恢复。资产税必定要上，社保也会贯彻，财政就找到了新的支点，自然就平稳度过了。日本当年房地产崩溃后，他还能投资啥？本来大方向是要往半导体方向走。假如你考虑把韩国的三星、LG的电子和半导体部门给到日本，你觉得日本还会有失落的几十年吗？甚至是互联网时代，日本也不见得不能分一杯羹。日本本来是半导体技术的先发国家，能和美...硬了。现在的差别在于中国不是日本。美国搞不死中国的新兴产业。所以中国能够完成经济上的引擎更换。但凡美国能搞死中国的新产业，那中国搞不好真的会内爆。但很遗憾，虎牢关战败了，满朝公卿日哭夜哭又有什么用呢？,4
5,今明两年反内卷肯定是重头戏，不仅已经动手了，而且动手的角度非常刁钻。投流资金超过15%的部分不能抵扣成本。某些靠低质卷价格+高投流的商家有灭顶之灾，现在已经在抖音嚎上了。还有一点就是，有传言称，今年年底之前，平台数据会直接并入财税系统，电商老板们那种直接拿个人帐户收款的日子恐怕也要结束了。而新规将直接影响的行业并不局限于电商，还有一大批依赖广告运行的行业。自媒体、免费小说、免费短剧、付费短剧、小程...在投流，像是付费短剧这种更是逆天，一部剧有九成的流水是在投流。在推动内卷方面，字节发挥的作用甚至比拼多多还要大。这还涉及到《反垄断法》的一部分内容，放任字节跳动这么搅下去，字节跳动极有可能成为国内《反垄断法》的最大bug。他几乎吃下了全部的移动互联网用户，但却没有吃下全部的互联网市场。腾讯系用一小撮中高端用户的市场份额就能跟字节系分庭抗礼。但字节系又在事实上吃下了绝大部分用户。字节系的产品恐怖就恐怖在这个地方。他流量确实很大，但他的流量也同样面临变现困难的问题。典型的旺丁不旺财。所以这几年字节系在疯狂搞各种免费产品，从免费阅读到免费短剧、免费电影。他并不是真心想做内容，字节的真实目的是提供一个...一个互联网平台而已，你提供的就业再多，能有各地的药代多？流量再重要，能有药重要？字节系最大的原罪是使大量社会资金浪费在了投流、广告上。而上面的意思是让这笔钱去生产研发端。要么你自己改，要么别人帮你改。,4
6,以后更难。一线城市已经很多人来找工作打工了。以前招聘的不缺人，以后更加不缺。工资会压得很低很低。都不知怎么办。倒是很多人会去做自媒体。 在这个低谷期，照顾好自己和家人。 身体健康是最大的本钱。但是我感觉自媒体越来越不好做了。 随着很多人的入局。。。只能说那个算法也是变来变去。,2
7,谢邀。水分应该没那么大啦，应该就是不均衡，导致不同人之间的冰火两重天。其实我觉得这增速也还好。今年新增广义赤字力度估计在12-13万亿，相当于GDP的9-10%，历年罕见。嗑药已经是一把一把地嗑，总得硬一下，不然根子就废了。6月规上工业增长6.8%，制造业增加值增长7.4%，其中汽车制造增长11.4%，3C也有11%。结合上半年以旧换新和抢出口来看，不算妄言。从我的身边统计学和酒桌经济学来看，同步...料到入住后的新家电，直接间接GDP贡献一般认为在17%到21%左右。现在这个能普涨的行业跌了，普跌势头抵消了大量刺激投入，也让这里面几千万从业者根本感觉不到增长。其次，太卷。今年二季度的规上工业产能利用率是74%，从同期看，仅16年二季度的73.1%。而16年正是供给侧改革年，就是被产能过剩逼的。尤其要注意：一般来说，因为国内春节这些，一季度是产能淡季，二季度会回升。例如16年的过剩年，一季度规上工业产能利用率72.9%，二季度微升到73.1%。但今年反了，二季度比一季度还下降了0.1个百分点，没有回升反而更淡。个人理解：即使有抢出口和提振消费等刺激，国内外盘子就这么大。特别是压舱石的国内市场...大家热切讨论下行期该怎么办；现在真开始下行了，讨论经济的话题就自觉减少，大家宁愿聊八卦。但还是希望多开会多搞政策，内容再无聊咱也是会看的。毕竟聊一万句八卦，最后还得面对生活。闲聊公号：王子君的碎碎念。,2
8,中国到2025年其实底色都是县城，而县城的消费能力在餐饮方面就是瑞幸和蜜雪冰城。上海深圳的富佬消费，其实就是国内消费市场的冰山一角。整个长江流域的财富汇集到一个城市，也就只能灌到中环，中环外的上海已经是县城味道。南翔九亭康桥一堆外地高薪做题家打工人都要攒钱买房留上海的，消费力可以忽略不计，再往外一圈消费力更拉胯。隔几步就是大卡车哐哐哐的，能有什么消费力？华东地区所有做生意的人都在想办法迎合上海内环...的消费需求与口味，只有伺候他们才能赚到钱。你稍微做点小生意就晓得了， 基本锚定客户是住别墅的或者高物业费小区，有30+车的，或者多孩的，即使没做到头部也都有钱赚。别墅装修虽然这几年生意也差了， 但维持经营还是没啥问题的，啥年份都有富哥要装修翻新别墅。锚定群体是坐地铁的，或者学生，或者各种基层上班族的，这几年死了有好几轮了。中国能被活得下去的商家当做潜在客户群体，基本特征跟别墅，高物业费小区，30+车主，多孩家庭是重合的。剩下群体的消费能力，商家即使赚钱，老板也就是投了几十万甚至几百万，去赚一个大号力工的钱。上海地铁站里开个芭比馒头肯定赚钱，但七七八八匀回来，老板累得半死，算算账比出去打工多赚点...华为的三折叠什么的。售价几千打底，几十万封顶，再一看制造业最为庞大的产业工人群体，月休两天都拿不到一万块。月休两天每天干十二小时的工人，真拿两个月工资去买个三折叠， 大部分人都会觉得这个人脑子坏掉了。,2
9,2025年8月，中国经济交出了一份沉重的成绩单:消费、投资、出口??三大需求齐齐下滑。中国经济的这三驾马车，过去我们最常见的是“一条腿瘸了”，比如投资不行，但消费还撑得住；或者消费低迷，但出口能拉一把。然而今年8月，是“三条腿一起跛”。这种局面，在过去几年里极为罕见。尽管只是一个月的数据，但它却是对中国经济未来的一声警钟：旧模式的惯性正在衰竭，而新模式尚未建立。结构性的转型，迫在眉睫。为什么会出现...费和部分升级类消费却依然坚挺。暑期的旅游、餐饮依旧繁荣，体育用品、金银珠宝还出现了逆势上涨。这说明居民消费不是完全熄火，而是贫富差距凸显之下的不均衡：多数人勒紧裤腰带，但少数人还能“挥金如土”。这也体现出，真正的问题在于收入增长停滞。没有稳定的就业和更高的收入，消费无法形成持久动力。补贴只能解决一时的问题，却无法改变长期的消费信心。3.投资领域:情况更为严峻。1-8月，全国固定资产投资同比仅增长0.5%，连续五个月下滑，8月还创下新低。三大投资领域几乎全部“亮红灯”：基建:专项债发行速度放缓，地方政府背负化债压力，很多项目“纸上批文有，实际开工难”。制造业:年初还能撑住局面，但8月开始明显放缓...存。但是，转机不会自动到来，需要深入的战略调整。目前最迫切的，就是从根本上提升消费：提高居民收入、提升社保水平、助力民营企业，让中国经济的内生动力，在居民端的信心恢复之中，找到结构转型的“活水源泉”。,2
